SEQNO,BUKRS(회사코드),BLDAT(증빙일),BUDAT(전표적용일),WAERS(통화),XBLNR(참조),SGTXT(전표적요),PARTNER(거래처),채권계정,HKONT(매출계정),WRBTR(통화금액),DMBTR_C(원화금액),PRCTR(부서코드),ZZCON(매출고객),ZZSCONID(매출계약번호),ZZPCONID(매입계약번호),ZZSEMPNO(영업사원사번),ZZSEMPNM(영업사원명),ZZREF2(오퍼링),ZZREF(세금계산서 승인번호),ZZINVNO(인보이스),ZZDEPGNO(예치금그룹번호),,사업자번호,거래처명,
1,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,100930,11060110,41021010,869340,,10000003,100930,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1048518866,(주)호텔롯데 롯데면세점,
2,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,103707,11060110,41021010,24139224,,10000003,103707,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2018156197,(주) 그라비티,
3,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,102807,11060110,41021010,785245,,10000003,102807,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,7378101610,"(주) 밸로프 (VALOFE Co.,Ltd.)",
4,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,102807,11060110,41021010,8687807,,10000003,102807,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,7378101610,"(주) 밸로프 (VALOFE Co.,Ltd.)",
5,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,106904,11060110,41021010,13344,,10000003,106904,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,5188101907,주식회사 라라스테이션,
6,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108968,11060110,41021010,6216447,,10000003,108968,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1858102045,주식회사 아멕스지코리아,
7,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,109500,11060110,41021010,61158,,10000003,109500,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,8278703209,주식회사 링고씨아이씨,
8,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,103580,11060110,41021010,1966586,,10000003,103580,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2208783590,(주)아성에이치엠피,
9,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,103581,11060110,41021010,629567,,10000003,103581,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2208787053,(주) 아성,
10,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,101811,11060110,41021010,18502,,10000003,101811,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,3318101353,마인드로직 주식회사(Mindlogic Inc.),
11,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108773,11060110,41021010,64055,,10000003,108773,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,5458602000,주식회사 지니어스오크엔터테인먼트,
12,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,103480,11060110,41021010,4103647,,10000003,103480,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1018663689,주식회사 씨알에스큐브,
13,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,105211,11060110,41021010,184807,,10000003,105211,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1078180100,(주)싸이버로지텍,
14,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,107213,11060110,41021010,1895422,,10000003,107213,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2028601986,(주)팔로,
15,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108781,21120110,41021010,319496,,10000003,108781,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,5258801618,주식회사 파로스랩스,
16,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,101042,11060110,41021010,405431,,10000003,101042,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1448118454,주식회사 카카오게임즈,
17,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108833,11060110,41021010,745734,,10000003,108833,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,3948101000,주식회사 비엠스마일,
18,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,103847,11060110,41021010,826930,,10000003,103847,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,6838801933,네이버제트 주식회사,
19,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,100448,21120110,41021010,1279451,,10000003,100448,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1208607747,에스케이쉴더스 주식회사,
20,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,106904,11060110,41021010,4515931,,10000003,106904,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,5188101907,주식회사 라라스테이션,
21,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,101424,11060110,41021010,377293,,10000003,101424,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2148763681,해브앤비 유한회사,
22,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108987,11060110,41021010,16630850,,10000003,108987,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1448135166,주식회사 시나몬,
23,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108918,11060110,41021010,266003,,10000003,108918,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2208722647,주식회사 버티고우게임즈,
24,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,101704,11060110,41021010,71112,,10000003,101704,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2648119591,(주)에이아이썸,
25,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,102807,11060110,41021010,205555,,10000003,102807,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,7378101610,"(주) 밸로프 (VALOFE Co.,Ltd.)",
26,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,105733,11060110,41021010,3984141,,10000003,105733,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,6718801814,주식회사 서북,
27,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108722,11060110,41021010,533282,,10000003,108722,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,6528801680,주식회사 넥스팟솔루션,
28,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,100083,11060110,41021010,264105,,10000003,100083,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2148183536,주식회사 안랩,
29,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,102807,11060110,41021010,7947564,,10000003,102807,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,7378101610,"(주) 밸로프 (VALOFE Co.,Ltd.)",
30,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,100930,11060110,41021010,845331,,10000003,100930,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1048518866,(주)호텔롯데 롯데면세점,
31,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,102387,11060110,41021010,1657700,,10000003,102387,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1208824134,주식회사 메이크스타,
32,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108912,11060110,41021010,384987,,10000003,108912,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2208777915,토탈미디어그램(주),
33,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,100437,11060110,41021010,4081348,,10000003,100437,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1128147103,오스템임플란트 주식회사,
34,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,105211,11060110,41021010,3626437,,10000003,105211,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1078180100,(주)싸이버로지텍,
35,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,109285,11060110,41021010,80211,,10000003,109285,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1748100450,주식회사 에덴룩스,
36,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,103654,11060110,41021010,275102,,10000003,103654,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,6928600235,주식회사 패스트레인,
37,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,109262,21120110,41021010,6896,,10000003,109262,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1138630615,제이예스주식회사,
38,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,102043,11060110,41021010,24133762,,10000003,102043,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1538102451,주식회사 에프앤에프,
39,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,107806,11060110,41021010,21408685,,10000003,107806,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,2118695324,(주)컴투스타이젬,
