편집상태,회사(영업조직),오퍼링코드,오퍼링 상태,오퍼링 상태명,오퍼링명(Short Text),오퍼링명(Long Text),회계인식기준,내역,과금방식,내역,오퍼링 매니저 전자메일,제품계층구조1(BM),코드,제품계층구조2(브랜드),코드,제품계층구조3(카테고리),코드,제품계층구조,메시지
,1100,DAKAM001,,,Akamai Delivery,Akamai Delivery,B02,일시인식,,,,DS,A0004,Akamai,B0006,Infrastructure Software,C0008,A0004B0006C0008,
,1100,DAKAM002,,,Akamai Security,Akamai Security,B01,기간인식,,,,DS,A0004,Akamai,B0006,Security,C0011,A0004B0006C0011,
,1100,DGOOG001,,,GWS(Google Workspace),GWS(Google Workspace),B02,일시인식,,,,DS,A0004,Google,B0067,Business Solution,C0002,A0004B0067C0002,
,1100,DGOOG004,,,Google Meet,Google Meet,B02,일시인식,,,,DS,A0004,Google,B0067,Business Solution,C0002,A0004B0067C0002,
,1100,DORCL001,,,Oracle,Oracle,B02,일시인식,,,,DS,A0004,Oracle,B0118,Infrastructure Software,C0008,A0004B0118C0008,
,1100,DSPLK001,,,Splunk - Observability,Splunk - Observability,B01,기간인식,,,,DS,A0004,Splunk,B0150,Monitoring,C0010,A0004B0150C0010,
,1100,DSPLK002,,,Splunk - Core,Splunk - Core,B01,기간인식,,,,DS,A0004,Splunk,B0150,Data&AI,C0004,A0004B0150C0004,
,1100,DSPLK003,,,Splunk - Security,Splunk - Security,B01,기간인식,,,,DS,A0004,Splunk,B0150,Security,C0011,A0004B0150C0011,
,1100,IAKAM001,,,Akamai Cloud,Akamai Cloud,,,,,,Infra,A0001,Akamai,B0006,Cloud,C0003,A0001B0006C0003,
,1100,IBABA001,,,Alibaba Cloud - On-Demand,Alibaba Cloud - On-Demand,,,,,,Infra,A0001,Alibaba,B0008,Cloud,C0003,A0001B0008C0003,
,1100,IBABA002,,,Alibaba Cloud - 약정계약,Alibaba Cloud - 약정계약,,,,,,Infra,A0001,Alibaba,B0008,Cloud,C0003,A0001B0008C0003,
,1100,IGOOG001,,,GCP - On-Demand,GCP - On-Demand,,,,,,Infra,A0001,Google,B0067,Cloud,C0003,A0001B0067C0003,
,1100,IGOOG002,,,GCP - 약정할인,GCP - 약정할인,,,,,,Infra,A0001,Google,B0067,Cloud,C0003,A0001B0067C0003,
,1100,INAVR001,,,Naver Cloud - On-Demand,Naver Cloud - On-Demand,,,,,,Infra,A0001,Naver,B0109,Cloud,C0003,A0001B0109C0003,
,1100,INAVR002,,,Naver Cloud - PCP,Naver Cloud - PCP,,,,,,Infra,A0001,Naver,B0109,Cloud,C0003,A0001B0109C0003,
,1100,IORCL001,,,Oracle - Universal Credit,Oracle - Universal Credit,,,,,,Infra,A0001,Oracle,B0118,Cloud,C0003,A0001B0118C0003,
,1100,IORCL002,,,Oracle - PAYG(pay as you go),Oracle - PAYG(pay as you go),,,,,,Infra,A0001,Oracle,B0118,Cloud,C0003,A0001B0118C0003,
,1100,MMECL005,,,GCP 매니지드 서비스 - Premium,GCP 매니지드 서비스 - Premium,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL006,,,GCP 매니지드 서비스 - Standard,GCP 매니지드 서비스 - Standard,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL007,,,GCP 매니지드 서비스 - Economy,GCP 매니지드 서비스 - Economy,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL017,,,Alibaba 매니지드 서비스 - Premium,Alibaba 매니지드 서비스 - Premium,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL018,,,Alibaba 매니지드 서비스 - Standard,Alibaba 매니지드 서비스 - Standard,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL019,,,Alibaba 매니지드 서비스 - Economy,Alibaba 매니지드 서비스 - Economy,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL020,,,Alibaba 매니지드 시큐리티 서비스 - Premium,Alibaba 매니지드 시큐리티 서비스 - Premium,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL021,,,Alibaba 매니지드 시큐리티 서비스 - Standard,Alibaba 매니지드 시큐리티 서비스 - Standard,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL022,,,Alibaba 매니지드 시큐리티 서비스 - Economy,Alibaba 매니지드 시큐리티 서비스 - Economy,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL035,,,Naver Cloud 매니지드 서비스 - Premium,Naver Cloud 매니지드 서비스 - Premium,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL036,,,Naver Cloud 매니지드 서비스 - Standard,Naver Cloud 매니지드 서비스 - Standard,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL037,,,Naver Cloud 매니지드 서비스 - Economy,Naver Cloud 매니지드 서비스 - Economy,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL038,,,Naver Cloud 매니지드 서비스 - Premium Plus,Naver Cloud 매니지드 서비스 - Premium Plus,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL051,,,Akamai Cloud 매니지드 서비스 - Premium,Akamai Cloud 매니지드 서비스 - Premium,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL052,,,Akamai Cloud 매니지드 서비스 - Standard,Akamai Cloud 매니지드 서비스 - Standard,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL053,,,Akamai Cloud 매니지드 서비스 - Economy,Akamai Cloud 매니지드 서비스 - Economy,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL054,,,Akamai Cloud 매니지드 서비스 - Basic,Akamai Cloud 매니지드 서비스 - Basic,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,MMECL055,,,Oracle 매니지드 서비스,Oracle 매니지드 서비스,B02,일시인식,,,,MS,A0003,Megazone Alliance,B0102,Support,C0012,A0003B0102C0012,
,1100,PMECL002,,,Akamai_구축/용역(Implementation / PS),Akamai_구축/용역 (Implementation / Professional Services),,,,,,PS,A0002,Megazone Alliance,B0102,IT Project (Planning&Development),C0009,A0002B0102C0009,
,1100,PMECL004,,,Alibaba_구축/용역 (Implementation / PS),Alibaba_구축/용역 (Implementation / Professional Services),,,,,,PS,A0002,Megazone Alliance,B0102,IT Project (Planning&Development),C0009,A0002B0102C0009,
,1100,PMECL006,,,Google_구축/용역 (Implementation / PS),Google_구축/용역 (Implementation / Professional Services),,,,,,PS,A0002,Megazone Alliance,B0102,IT Project (Planning&Development),C0009,A0002B0102C0009,
,1100,PMECL011,,,Naver_구축/용역 (Implementation / PS),Naver_구축/용역 (Implementation / Professional Services),,,,,,PS,A0002,Megazone Alliance,B0102,IT Project (Planning&Development),C0009,A0002B0102C0009,
,1100,PMECL013,,,Oracle_구축/용역 (Implementation / PS),Oracle_구축/용역 (Implementation / Professional Services),,,,,,PS,A0002,Megazone Alliance,B0102,IT Project (Planning&Development),C0009,A0002B0102C0009,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
